gene,gnomAD_syn_<1e-5,gnomAD_syn_1e-5~1e-4,gnomAD_syn_1e-4~1e-3,gnomAD_syn_1e-3~1e-2,gnomAD_syn_1e-2<,gnomAD_mis_<1e-5,gnomAD_mis_1e-5~1e-4,gnomAD_mis_1e-4~1e-3,gnomAD_mis_1e-3~1e-2,gnomAD_mis_1e-2<,gnomAD_stopgain_<1e-5,gnomAD_stopgain_1e-5~1e-4,gnomAD_stopgain_1e-4~1e-3,gnomAD_stopgain_1e-3~1e-2,gnomAD_stopgain_1e-2<,RGC-ME_syn_<1e-5,RGC-ME_syn_1e-5~1e-4,RGC-ME_syn_1e-4~1e-3,RGC-ME_syn_1e-3~1e-2,RGC-ME_syn_1e-2<,RGC-ME_mis_<1e-5,RGC-ME_mis_1e-5~1e-4,RGC-ME_mis_1e-4~1e-3,RGC-ME_mis_1e-3~1e-2,RGC-ME_mis_1e-2<,RGC-ME_stopgain_<1e-5,RGC-ME_stopgain_1e-5~1e-4,RGC-ME_stopgain_1e-4~1e-3,RGC-ME_stopgain_1e-3~1e-2,RGC-ME_stopgain_1e-2<,non_nsite,mis_nsite,ssite,is_cRDHGs
TENT5B,50,41,7,2,3,95,78,9,1,2,3,1,0,0,0,153,38,5,2,2,362,67,5,0,3,12,1,0,0,0,4.5866800000000017e-07,1.77258494e-05,7.881508299999989e-06,False
MPPED1,33,34,8,3,5,50,32,4,0,0,0,1,0,0,0,133,40,6,3,5,266,15,5,0,0,11,1,0,0,0,5.332385999999998e-07,1.2528036999999992e-05,6.695767900000005e-06,False
MAP4K4,134,78,15,4,1,193,95,12,1,0,5,0,0,0,0,494,66,16,2,1,868,65,8,0,0,29,0,0,0,0,2.996137399999999e-06,4.137274610000022e-05,1.537035909999998e-05,False
ALS2CL,94,99,12,8,6,193,186,29,2,3,8,7,0,1,0,375,83,16,5,5,849,152,28,3,2,47,5,0,1,0,1.558195000000001e-06,3.280287290000003e-05,1.618674530000002e-05,False
U2AF1L4,15,14,2,1,0,62,38,2,1,0,3,1,0,0,0,71,7,4,0,0,200,30,7,0,0,14,0,0,0,0,3.2024710000000025e-07,6.533245999999994e-06,2.0944449999999987e-06,False
KRTAP20-1,1,3,1,0,0,19,11,2,0,1,2,0,0,0,0,21,0,1,0,0,57,7,1,0,1,6,1,0,0,0,8.83883e-08,1.5176445000000008e-06,5.221989000000003e-07,False
OR6N2,35,20,4,4,2,69,40,7,3,1,3,2,0,1,0,129,14,4,3,1,325,36,5,1,1,20,1,1,0,0,5.128344000000003e-07,8.112483299999987e-06,2.954448300000001e-06,False
PCLAF,7,5,1,0,0,20,9,2,0,0,0,1,0,0,0,34,5,0,0,0,99,8,0,0,0,7,0,0,0,0,1.2086349999999998e-07,2.6991603000000008e-06,9.712888000000008e-07,False
ZNF69,44,29,9,1,4,116,110,22,5,0,5,8,0,0,0,141,18,6,2,3,405,69,17,5,0,17,6,0,0,0,1.1813091999999995e-06,1.6472425600000003e-05,6.001004400000002e-06,False
DHX30,129,116,18,4,1,143,101,5,1,0,1,0,0,0,0,447,106,16,2,1,615,69,7,0,0,1,0,0,0,0,1.9488321e-06,4.6021549799999885e-05,1.813485330000003e-05,False
RBPJ,35,32,5,2,2,48,27,2,0,0,0,0,0,0,0,151,19,6,2,1,250,21,3,0,0,2,0,0,0,0,1.633208699999999e-06,1.3283024999999996e-05,4.8735259e-06,False
RELT,33,51,6,7,3,100,88,13,8,0,4,3,0,0,0,166,34,10,2,3,388,80,7,6,0,19,1,0,0,0,7.441673999999999e-07,1.7062725400000013e-05,7.486307899999998e-06,False
ACBD5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,24,2,0,5,439,55,10,3,1,18,0,1,0,0,7.682644e-07,1.3376245399999983e-05,5.246821099999999e-06,False
GLTP,19,20,2,2,0,51,44,1,1,0,2,0,0,0,0,71,15,0,2,0,151,23,6,0,0,9,0,0,0,0,2.2459440000000003e-07,6.818231000000004e-06,3.521375e-06,False
DYNC2I1,95,80,13,4,4,234,184,26,13,4,10,2,2,0,0,393,76,12,4,3,1022,149,28,6,4,38,5,1,0,0,2.066722100000001e-06,3.1088735200000005e-05,1.35464129e-05,False
GOLGB1,194,165,27,8,6,596,363,50,18,6,13,6,0,0,0,960,119,23,6,4,2656,297,44,10,8,106,2,0,0,0,6.122860199999985e-06,7.732444359999991e-05,2.81143736e-05,False
ATF5,28,30,2,1,5,75,62,11,4,1,2,1,0,0,0,114,20,3,2,3,255,54,10,2,0,17,2,0,0,0,2.894494000000001e-07,8.13298479999998e-06,3.734010500000002e-06,False
CEP170B,171,202,38,16,14,322,377,69,18,1,4,2,0,0,0,670,166,42,7,13,1394,370,51,10,1,26,0,0,0,0,2.0749441e-06,7.254080510000029e-05,3.334987599999994e-05,False
NOXA1,53,48,17,3,3,117,96,15,6,5,7,5,0,0,0,206,46,11,5,0,438,91,11,7,3,19,2,0,0,0,1.0245252000000002e-06,1.868711900000001e-05,9.9086308e-06,False
DDX23,62,38,9,4,2,101,54,1,0,0,4,0,0,0,0,273,44,8,2,1,457,46,3,0,0,23,0,0,0,0,2.3004368999999988e-06,2.9424522700000007e-05,8.2997825e-06,False
SLU7,40,26,3,1,1,64,46,4,1,2,3,3,0,0,0,144,16,1,0,1,339,43,3,1,2,25,0,0,0,0,1.541524800000001e-06,1.4784764800000026e-05,4.734536999999996e-06,False
ENSG00000288645,12,7,1,0,0,39,17,1,0,0,0,0,0,0,0,44,5,0,0,0,111,8,2,0,0,2,0,0,0,0,1.659632e-07,3.4277193000000004e-06,1.4204437e-06,False
STK31,90,58,9,0,3,195,114,27,7,7,9,3,0,1,0,369,49,7,1,3,930,107,20,7,6,33,1,0,1,0,1.4787892e-06,2.397859380000004e-05,8.854265399999988e-06,False
RPRML,16,7,1,2,0,38,16,1,0,1,1,0,0,0,0,57,4,2,0,0,148,9,1,0,1,2,0,0,0,0,9.656200000000001e-08,3.4843995000000008e-06,1.8155721000000009e-06,False
PNMA8C,22,12,2,2,0,43,29,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5389849999999998e-07,6.766256700000008e-06,3.3119909000000028e-06,False
NPFFR2,33,24,5,1,0,82,65,15,6,0,5,2,0,0,0,135,29,5,1,0,412,62,13,2,0,22,1,0,0,0,5.773825000000003e-07,1.043407210000001e-05,4.0653923e-06,False
EQTN,22,15,0,1,1,72,48,11,1,2,8,2,0,0,0,103,15,1,0,1,306,39,9,0,2,16,1,0,0,0,2.146333e-07,6.973388299999991e-06,2.896733199999999e-06,False
TJP1,1,1,1,0,1,4,2,0,1,0,0,0,0,0,0,6,1,0,0,1,24,2,0,0,1,0,0,0,0,0,2.15973e-08,5.625787000000002e-07,3.665786e-07,False
ENSG00000256950,10,5,2,0,0,26,15,4,1,1,0,0,0,0,0,45,8,0,0,0,111,10,3,0,1,3,0,0,0,0,1.133786e-07,2.983363599999998e-06,1.2897426000000005e-06,False
RHPN1,79,76,15,7,2,165,169,17,7,0,2,7,0,0,0,330,72,14,3,1,693,141,17,3,0,36,5,0,0,0,1.0368641e-06,3.014117249999999e-05,1.5129686699999976e-05,False
DTL,49,45,8,8,1,130,71,3,2,3,4,0,0,0,0,218,33,12,6,1,603,49,4,1,3,27,0,0,0,0,1.2294432000000005e-06,1.870621060000002e-05,7.9330277e-06,False
ZNF655,35,20,1,1,0,83,89,8,3,1,4,0,0,0,0,151,14,2,1,0,445,70,6,3,0,24,0,0,0,0,8.084366999999999e-07,1.2674971400000004e-05,5.034703600000005e-06,False
GSE1,202,210,39,13,6,428,402,48,12,2,4,1,0,0,0,762,173,40,13,3,1655,335,37,8,0,13,0,0,0,0,1.4751973999999998e-06,4.737261329999999e-05,2.259018380000001e-05,False
IL17C,28,34,6,2,1,57,60,12,3,0,2,1,0,0,0,120,22,8,2,1,236,51,12,2,0,8,1,0,0,0,2.716621999999999e-07,8.914420900000013e-06,4.456702700000002e-06,False
HNRNPF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,43,9,2,0,260,19,1,1,0,4,0,0,0,0,4.766124000000001e-07,1.3141586900000004e-05,6.777713299999998e-06,False
ZFP3,34,28,7,0,0,79,42,8,1,0,4,3,0,0,0,171,20,8,0,0,435,33,6,2,0,16,3,0,0,0,9.333513e-07,1.379352419999998e-05,4.421330799999999e-06,False
AGO1,71,67,8,6,1,98,22,1,0,0,0,0,0,0,0,352,32,12,6,1,475,16,1,0,0,4,0,0,0,0,1.9377187e-06,3.137825300000002e-05,1.1464023100000004e-05,False
MTX1,35,27,3,0,1,80,54,9,0,1,3,0,0,0,0,151,15,2,0,1,315,38,6,0,1,11,1,0,0,0,3.699064999999999e-07,8.60354420000002e-06,3.8131183000000007e-06,False
MTMR12,66,38,10,1,1,114,70,11,3,2,4,1,0,0,0,246,32,6,1,1,553,53,9,5,1,23,0,0,0,0,1.4256927999999997e-06,1.912992950000001e-05,7.865664600000003e-06,False
TOP1MT,60,68,13,1,4,161,128,30,7,5,4,9,2,0,0,268,55,10,3,3,652,120,23,6,3,38,7,2,0,0,1.033156e-06,2.261503250000004e-05,1.0945501000000008e-05,False
AQP1,22,40,6,1,0,60,44,6,2,2,1,0,0,0,0,102,30,11,0,0,235,35,3,2,2,5,0,0,0,0,1.7214850000000005e-07,1.0339570600000004e-05,5.711370499999999e-06,False
PSAT1,29,22,5,1,1,88,53,8,1,0,3,1,0,0,0,127,12,7,1,1,340,35,7,0,0,13,2,0,0,0,4.216446999999998e-07,1.07305205e-05,4.5988713e-06,False
KCP,168,144,19,12,5,361,334,52,21,14,23,27,0,0,0,637,111,16,7,3,1461,271,46,18,8,93,11,1,0,0,3.0789443000000013e-06,5.947238140000001e-05,2.5866252099999956e-05,False
ENSG00000257524,35,29,5,2,3,71,60,14,1,0,2,0,0,0,0,102,32,5,1,1,229,44,6,0,0,7,1,0,0,0,6.347257999999996e-07,1.4411073899999989e-05,6.267376900000001e-06,False
EHF,25,30,0,1,2,55,36,3,0,1,1,0,0,0,0,118,22,0,1,2,228,23,2,0,1,9,0,0,0,0,8.781254e-07,9.02398139999998e-06,3.874992700000001e-06,False
SCG2,48,36,5,2,3,132,84,10,0,1,4,0,0,0,0,220,23,4,2,2,623,55,8,0,1,11,0,0,0,0,1.0665164e-06,1.6825380099999987e-05,6.712453200000001e-06,False
ENSG00000275163,12,20,1,0,2,37,28,3,0,0,1,0,0,0,0,81,13,2,0,2,166,20,3,0,0,9,0,0,0,0,3.686425999999998e-07,6.656161800000003e-06,2.6585660000000006e-06,False
SEC31B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474,53,8,2,3,1055,135,25,10,6,69,4,3,0,0,1.6481684e-06,3.061742860000004e-05,1.2516923600000011e-05,False
APLP1,71,48,18,5,2,151,111,9,5,0,6,1,0,0,0,301,42,14,4,2,621,84,8,3,1,17,0,0,0,0,8.759337e-07,2.0980536499999973e-05,9.129725800000008e-06,False
THAP2,12,9,0,1,0,51,25,3,1,1,2,2,0,0,0,78,4,1,0,1,186,16,3,2,0,8,2,0,0,0,4.543223999999998e-07,5.714810799999995e-06,1.7965665999999973e-06,False
ERBB4,128,72,14,5,1,260,150,11,1,0,2,2,0,0,0,448,71,9,3,1,1044,117,11,1,0,15,0,0,0,0,2.282583099999997e-06,3.771901890000003e-05,1.2980641300000004e-05,False
GARIN6,20,15,3,3,0,57,36,6,5,2,1,2,0,0,0,89,19,3,1,0,246,28,8,2,2,7,2,0,0,0,3.717630999999999e-07,7.570323299999997e-06,3.121365699999997e-06,False
ZNF564,38,28,4,0,0,122,75,2,2,0,9,4,0,0,0,197,21,3,0,0,515,62,4,2,0,27,4,1,0,0,1.5533488999999995e-06,1.6569944200000016e-05,5.5775298000000085e-06,False
CLDND1,22,19,4,1,0,53,33,5,1,0,2,0,0,0,0,90,12,3,1,0,232,28,4,1,0,10,0,0,0,0,5.402606e-07,7.322057900000009e-06,2.4906298000000026e-06,False
LHFPL7,27,14,1,1,0,48,31,3,1,3,1,0,0,0,0,51,11,1,1,0,108,14,2,1,1,2,0,0,0,0,2.071762e-07,5.037057700000001e-06,2.2715247000000013e-06,False
ZNF605,38,40,2,4,0,118,70,10,2,1,4,5,0,0,0,187,29,6,1,0,520,57,8,0,1,22,5,0,0,0,2.3242970000000002e-07,4.1613069e-06,1.571940799999999e-06,False
ETAA1,74,53,6,5,7,216,133,18,6,7,2,1,0,0,0,319,36,7,7,4,928,85,19,4,5,33,2,0,0,0,1.2775742999999998e-06,2.128305690000004e-05,8.033577400000006e-06,False
RNF111,89,62,10,2,3,222,136,16,4,1,3,0,0,0,0,357,58,5,3,3,962,93,17,3,1,10,0,0,0,0,1.4843768999999998e-06,2.6204647099999983e-05,9.097089499999982e-06,False
ANP32D,13,11,2,1,1,27,22,3,3,1,1,1,0,0,0,60,8,3,0,1,132,15,6,1,1,5,1,0,0,0,1.3364089999999998e-07,3.3127483999999978e-06,1.462541799999999e-06,False
ANKRD33,47,41,6,4,4,88,73,10,5,4,5,4,2,0,0,174,35,6,3,4,352,56,11,3,4,20,5,1,0,0,7.346680000000003e-07,1.456971950000001e-05,6.583112700000001e-06,False
FAM110D,39,14,4,0,2,58,36,6,3,1,3,1,0,0,0,143,17,2,0,2,317,25,6,1,1,8,1,0,0,0,2.867878e-07,8.042324899999982e-06,3.887661500000002e-06,False
CCNI2,30,28,3,4,0,73,54,4,3,2,3,2,0,0,0,163,29,1,3,0,362,38,5,1,1,8,2,0,0,0,3.835683999999998e-07,1.0051824200000005e-05,5.308689500000002e-06,False
LRRC27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,48,11,3,4,516,92,23,2,1,29,8,1,0,0,1.1048303e-06,1.64813092e-05,7.1531559999999975e-06,False
EHD4,42,63,11,0,3,119,101,9,1,1,5,3,0,0,0,211,51,9,2,2,472,81,8,0,1,21,1,0,0,0,9.341092e-07,1.8944249500000023e-05,1.0260797099999992e-05,False
C1QTNF1,39,27,3,0,5,70,52,8,0,1,2,1,0,0,0,112,24,2,1,4,293,37,5,1,1,12,1,0,0,0,4.046031e-07,9.66035110000002e-06,4.586851999999997e-06,False
TNFSF12,24,17,1,3,4,51,37,6,0,0,3,0,0,0,0,78,15,4,2,3,157,37,4,0,0,2,1,0,0,0,4.426143e-07,8.935005999999993e-06,3.7520806000000017e-06,False
TEX45,47,44,7,2,3,125,85,15,6,8,9,1,0,0,0,214,33,6,1,3,482,64,11,4,7,28,2,0,0,0,5.633678000000001e-07,1.5491156199999994e-05,7.601473500000002e-06,False
ZNF536,143,131,24,10,3,264,172,19,6,3,0,0,0,0,0,467,113,15,9,2,1028,143,17,5,2,4,0,0,0,0,1.3477850000000022e-06,4.665700859999992e-05,2.314449970000005e-05,False
IGFBP1,24,21,4,0,1,55,30,6,4,1,5,2,1,0,0,122,16,4,0,1,250,27,7,2,1,16,1,1,0,0,4.319834e-07,7.887621100000003e-06,3.8045652e-06,False
CSNKA2IP,55,47,7,5,4,178,124,18,12,8,12,6,0,0,1,200,28,7,3,3,542,66,15,6,6,38,2,0,0,0,1.2873451000000007e-06,1.97314334e-05,7.31188250000001e-06,False
FBXO42,60,50,7,3,4,132,73,6,1,2,2,1,0,0,0,252,34,9,3,1,597,49,5,0,2,13,1,0,0,0,1.4573274999999996e-06,2.216438240000002e-05,8.066227299999984e-06,False
CTH,33,16,2,1,0,81,51,6,2,1,2,2,0,0,0,127,14,2,1,0,338,37,6,1,1,7,2,0,0,0,6.236734999999999e-07,1.0483720599999983e-05,3.892861799999998e-06,False
HABP4,32,33,10,2,3,90,70,5,0,0,6,2,0,0,0,149,26,5,4,2,339,60,2,0,0,10,1,0,0,0,6.468321000000003e-07,1.3417853600000002e-05,5.451162300000005e-06,False
WDR31,35,30,4,3,0,69,46,6,1,2,8,5,1,0,0,136,21,2,3,0,345,38,7,1,2,18,3,1,0,0,5.064551000000001e-07,9.42145029999999e-06,4.287459e-06,False
MT3,5,8,0,0,0,13,7,2,0,0,2,0,0,0,0,17,7,0,0,0,55,7,2,1,0,5,0,0,0,0,9.30645e-08,1.7209696000000002e-06,7.663796000000001e-07,False
CSN2,23,21,2,0,0,64,38,5,0,2,3,1,0,0,0,94,16,2,1,0,239,39,1,2,0,5,1,0,0,0,2.699358999999999e-07,5.372597500000008e-06,2.108133399999999e-06,False
KRT82,45,61,10,2,0,115,121,26,9,2,3,4,0,1,0,205,51,8,1,0,499,105,20,7,3,22,6,0,1,0,7.1344e-07,1.8870586499999968e-05,8.58014479999999e-06,False
SETMAR,65,53,8,6,2,167,126,10,2,5,4,9,1,0,0,253,38,3,6,1,633,93,15,4,2,35,7,0,0,0,1.4157892000000005e-06,1.9767075399999997e-05,7.5237368000000035e-06,False
PRRT4,111,80,14,7,3,217,154,20,5,4,8,3,0,0,0,478,58,11,3,4,978,114,15,2,4,38,2,0,0,0,9.266288000000002e-07,2.641233719999993e-05,1.3308548599999996e-05,False
ZNF217,102,86,18,7,13,213,157,13,6,5,0,0,0,0,0,397,79,23,12,6,821,126,12,8,4,5,0,0,0,0,1.2125823000000006e-06,2.9023197300000027e-05,1.3568176300000004e-05,False
LGALS12,32,16,2,4,1,57,64,10,3,2,3,5,0,0,0,131,17,5,2,0,295,44,6,4,0,15,4,1,0,0,3.538292e-07,9.489934599999986e-06,3.691565500000001e-06,False
OGG1,40,34,4,1,0,88,60,10,5,2,7,4,0,0,0,161,33,4,0,0,374,50,5,5,1,27,3,0,0,0,8.645002e-07,1.1243224499999968e-05,4.4244227e-06,False
SOX17,61,54,6,2,1,129,65,6,6,0,0,0,0,0,0,263,42,11,1,0,502,54,5,3,1,1,0,0,0,0,5.000230999999999e-07,1.2809386699999996e-05,6.304811200000001e-06,False
GABRA6,42,42,7,2,4,104,56,9,3,2,9,2,0,0,0,175,24,6,2,4,457,44,5,3,2,16,4,0,0,0,4.948729999999999e-07,1.2835281500000008e-05,5.133972600000001e-06,False
RBSN,57,45,6,3,4,153,117,13,1,3,13,2,0,0,0,230,29,7,4,1,599,97,12,2,3,41,0,0,0,0,1.7150144e-06,2.3701232899999903e-05,8.751809600000018e-06,False
ENSG00000264058,21,13,0,2,0,39,37,2,0,0,4,3,0,0,0,85,12,1,1,0,258,22,1,0,0,12,1,0,0,0,5.517983999999999e-07,7.557241400000009e-06,2.7518613000000014e-06,False
SHOX2,51,29,9,0,0,88,58,5,0,0,2,0,0,0,0,151,23,6,0,0,332,46,2,0,0,4,0,0,0,0,4.537769999999999e-07,9.070919399999997e-06,4.175691300000001e-06,False
HBS1L,47,38,9,1,2,124,90,21,5,1,6,3,0,0,0,176,29,12,0,2,524,60,16,3,0,17,2,0,0,0,1.336474400000001e-06,1.912907590000001e-05,7.619380400000001e-06,False
ACP1,14,11,0,4,1,39,28,2,1,1,0,3,0,0,0,62,7,2,2,1,133,26,0,1,1,5,3,0,0,0,3.349642e-07,4.7203681999999945e-06,2.0723129e-06,False
PAPOLB,81,43,8,7,2,170,101,11,4,4,6,0,0,0,0,291,45,8,3,2,700,68,13,3,3,30,0,0,0,0,8.21621e-07,1.5505907300000018e-05,5.987425599999994e-06,False
CCDC112,33,20,2,4,2,103,67,12,2,1,1,3,0,0,0,179,16,5,2,1,469,57,8,3,0,20,2,0,0,0,9.811785999999997e-07,1.1779051299999976e-05,3.836328999999999e-06,False
CACNA1B,260,191,49,17,8,419,294,30,5,3,11,0,0,0,0,884,188,44,11,6,1761,233,28,4,1,30,0,0,0,0,2.907838400000002e-06,7.93325420999996e-05,3.531722479999997e-05,False
TPX2,53,32,3,1,5,161,76,14,2,0,2,1,0,0,0,252,29,1,2,3,624,72,9,2,0,4,2,0,0,0,1.5658432000000003e-06,1.8507930500000057e-05,6.576424100000001e-06,False
CCDC24,30,19,5,2,0,67,60,8,3,1,4,2,0,0,0,142,19,2,2,0,334,39,9,2,1,19,1,0,0,0,5.187773999999999e-07,8.725895199999987e-06,3.435551700000002e-06,False
EVPL,229,230,22,19,7,459,426,74,22,7,21,16,1,0,0,830,172,16,17,6,1815,345,73,12,6,87,9,2,0,0,3.2255584000000004e-06,7.272649610000008e-05,3.2583085599999985e-05,False
ENO1,52,41,7,1,1,86,76,7,1,0,3,1,0,0,0,182,30,3,2,0,414,46,3,1,0,17,1,0,0,0,3.872269e-07,1.3710568700000018e-05,6.617833399999995e-06,False
MGAT4D,20,18,2,3,1,67,57,6,0,3,3,4,0,1,1,23,2,0,0,0,42,1,1,0,0,4,0,1,0,0,7.950174e-07,8.772591099999993e-06,3.124172499999996e-06,False
PPL,212,217,41,14,10,522,505,70,23,8,21,14,0,0,0,881,185,37,11,8,2019,424,69,13,7,115,8,1,0,0,2.474436100000004e-06,6.095501759999997e-05,2.7148822999999983e-05,False
SPNS2,82,93,19,7,2,167,111,19,4,0,3,2,0,0,0,347,75,22,6,0,652,88,20,3,0,18,0,0,0,0,7.326408000000001e-07,2.090384590000003e-05,1.1151087499999998e-05,False
SERINC2,53,51,13,3,5,109,106,28,3,2,4,1,0,0,0,206,48,5,3,5,440,83,24,5,1,35,1,0,0,0,5.164987e-07,1.6634245800000007e-05,9.044018399999987e-06,False
IL34,31,32,4,3,2,68,59,8,4,2,1,1,0,0,1,117,29,2,4,1,247,55,8,4,1,9,1,0,0,1,3.987377999999999e-07,8.564373599999998e-06,4.285426200000001e-06,False
TUSC3,40,37,3,0,1,97,39,2,1,0,7,2,0,0,0,173,26,2,1,0,425,36,4,1,0,31,2,0,0,0,6.278480999999999e-07,1.0176126300000008e-05,3.617216900000007e-06,False
IL17RC,89,71,12,8,5,160,118,15,10,6,7,4,1,0,0,345,55,10,7,4,720,96,19,7,5,33,5,1,0,0,1.2804609999999998e-06,2.1851066800000008e-05,1.1612452999999974e-05,False
SMARCD3,38,42,12,3,1,77,45,1,0,0,3,0,0,0,0,153,32,8,4,0,283,43,1,0,0,7,0,0,0,0,5.368706999999997e-07,1.6821978599999992e-05,6.499505699999993e-06,False
POLR3G,14,11,2,0,0,40,24,6,0,0,3,1,0,0,0,65,11,0,0,0,194,26,2,0,0,5,1,0,0,0,2.3303529999999997e-07,5.4429511e-06,2.224029400000001e-06,False
LTV1,50,18,7,0,4,102,60,8,4,0,3,4,3,0,0,139,18,5,2,2,396,52,10,2,0,13,1,4,0,0,9.816518000000003e-07,1.1573611900000015e-05,4.005044700000008e-06,False
WDR7,101,94,24,12,3,284,176,14,3,0,2,0,0,0,0,487,80,20,8,2,1189,156,12,1,0,24,0,0,0,0,2.9668338e-06,4.396315419999999e-05,1.7567919599999973e-05,False
TTYH3,73,74,11,4,3,134,96,15,3,1,1,0,0,0,0,274,60,11,4,1,571,73,16,3,1,9,0,0,0,0,6.430148999999999e-07,2.0919830000000008e-05,1.2312440399999997e-05,False
C1orf141,24,22,6,2,3,65,56,7,2,4,3,1,1,0,0,99,21,3,2,3,324,42,4,1,4,18,3,0,0,0,5.131426000000003e-07,9.150728200000014e-06,3.8118509000000047e-06,False
POM121L12,46,38,11,3,5,119,85,14,6,7,3,1,0,1,0,203,35,10,1,5,432,72,17,4,4,20,0,2,0,0,4.649925000000002e-07,1.1233930000000012e-05,5.7810295e-06,False
GNA11,41,46,10,2,1,51,14,1,1,0,0,0,0,0,0,147,50,5,3,1,231,12,1,1,0,6,0,0,0,0,4.051108000000001e-07,1.4934909699999992e-05,7.878626499999997e-06,False
HMGCL,26,34,3,2,1,64,53,6,0,0,3,3,0,0,0,116,25,4,1,1,280,37,5,0,0,7,3,0,0,0,3.499787e-07,8.343633599999999e-06,3.6661335999999977e-06,False
NUDT22,24,16,6,1,0,64,47,10,2,3,9,1,1,0,0,117,23,2,1,0,296,33,6,1,3,25,0,1,0,0,5.557147000000001e-07,8.504412099999982e-06,4.044163599999999e-06,False
PITX3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,22,2,0,1,288,21,3,0,0,4,0,0,0,0,3.9974769999999977e-07,9.550643400000007e-06,4.767491600000004e-06,False
RBFOX1,58,50,10,2,1,109,63,6,3,0,1,0,0,0,0,239,46,4,2,1,434,40,10,1,0,4,0,0,0,0,8.691083000000002e-07,1.4583698299999988e-05,7.442819900000007e-06,False
ABI1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,15,4,0,0,343,28,4,0,0,5,0,0,0,0,9.301785000000002e-07,1.3779491900000004e-05,4.745606199999999e-06,False
TOR1AIP2,37,25,5,7,1,83,67,8,2,0,3,3,0,0,0,163,26,6,3,0,388,52,7,0,0,17,3,0,0,0,6.306242e-07,1.1331742199999978e-05,4.8944690000000005e-06,False
NPC1,133,100,18,10,5,230,190,27,8,6,9,2,0,0,0,490,95,9,11,2,1127,142,28,5,5,38,1,0,0,0,1.8667905000000003e-06,3.885663729999984e-05,1.8406927500000004e-05,False
ERAL1,32,20,4,1,1,111,54,5,4,0,5,4,0,0,0,176,21,2,0,1,416,40,7,0,0,29,4,0,0,0,7.986335e-07,1.1153106199999984e-05,4.77032439999999e-06,False
CDK5R2,47,33,2,1,3,77,35,5,2,0,0,0,0,0,0,184,21,2,1,3,333,27,4,2,0,5,0,0,0,0,4.262708e-07,1.11455727e-05,5.766989100000005e-06,False
EFCAB5,106,75,15,8,2,292,197,24,15,6,11,9,4,1,0,494,57,12,5,2,1310,166,10,13,5,68,9,4,0,0,2.586579599999997e-06,3.718082940000017e-05,1.3568996400000002e-05,False
KCNA7,58,42,7,6,2,124,82,6,1,3,1,2,0,0,0,224,31,10,2,2,503,58,6,1,3,13,1,0,0,0,4.679279e-07,1.66354049e-05,7.413995199999996e-06,False
C2orf49,28,11,3,3,1,50,34,8,2,2,0,0,0,0,0,106,12,2,3,1,220,29,5,1,2,5,0,0,0,0,2.720933999999999e-07,5.857388599999996e-06,2.586795300000002e-06,False
MAN1C1,69,52,13,1,2,149,88,7,1,2,5,0,0,0,0,261,44,8,2,2,617,71,6,1,2,25,0,0,0,0,1.0285016000000005e-06,2.0025278200000016e-05,9.99444859999999e-06,False
MAPK13,37,30,7,5,1,71,55,4,4,0,0,3,1,0,0,128,18,7,2,1,352,41,7,2,1,11,1,1,1,0,6.447016999999997e-07,1.1409661000000004e-05,5.077356500000003e-06,False
MRPL42,8,14,2,0,0,38,25,4,0,0,1,0,0,0,0,47,11,0,0,0,132,21,2,0,0,6,0,0,0,0,1.2068279999999996e-07,4.088789300000004e-06,1.2536507999999996e-06,False
SLC16A1,37,41,4,1,0,88,49,8,1,1,0,0,0,0,0,172,27,4,1,0,370,39,3,1,1,10,0,0,0,0,1.0824098999999995e-06,1.3824688599999983e-05,5.841229900000009e-06,False
SLC31A2,12,12,3,0,1,34,17,3,1,0,1,0,0,0,0,51,6,1,0,1,139,11,2,0,0,4,0,0,0,0,1.2507839999999997e-07,3.549307699999996e-06,1.8140355e-06,False
NPPB,14,9,1,1,1,31,25,5,4,0,1,3,0,0,0,61,5,1,2,0,147,25,3,3,0,4,3,0,0,0,1.4350710000000006e-07,4.218253599999994e-06,1.5798034999999997e-06,False
ARPC5L,13,15,2,0,1,21,18,3,0,0,0,0,0,0,0,50,13,1,1,0,109,10,3,0,0,2,0,0,0,0,2.167685000000001e-07,4.578469400000003e-06,2.0699735e-06,False
OR10H3,27,19,3,1,2,83,45,13,4,5,1,1,0,0,0,114,18,2,1,2,325,37,6,5,5,12,1,0,0,0,1.635582e-07,8.480866000000006e-06,2.9136803999999947e-06,False
CPNE1,40,33,5,1,2,102,101,22,5,4,7,3,0,0,0,190,28,4,0,2,467,84,15,3,4,25,3,0,0,0,5.191715999999999e-07,1.781906100000005e-05,6.740283599999996e-06,False
IARS1,105,63,14,3,2,251,163,21,9,1,16,3,0,0,0,408,55,14,3,2,1116,130,22,6,1,45,3,0,0,0,2.4632161000000004e-06,3.38230742999998e-05,1.211551149999998e-05,False
